date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact
2021-05-17 15:00:00,2021,20,15,17,115,0.0,0.0,152.77162896241506,0.46927964275751877,0.07111682065817836,0.36301050163763526,0.430786367694867
2021-05-17 16:00:00,2021,20,16,17,116,0.0,0.0,241.50868037406718,0.4607906600228849,0.08534469972545078,0.3620231516574601,0.430786367694867
2021-05-17 17:00:00,2021,20,17,17,117,0.0,0.0,288.59467031689894,0.46340820621726664,0.0941917507595416,0.371321722020137,0.430786367694867
2021-05-17 18:00:00,2021,20,18,17,118,0.0,0.0,329.1365730156301,0.4557079219835473,0.11219412965109493,0.3705251582856403,0.430786367694867
2021-05-17 19:00:00,2021,20,19,17,119,0.0,0.0,493.7702480389215,0.4810771129315159,0.09443071454993943,0.3873189109731952,0.430786367694867
2021-05-17 20:00:00,2021,20,20,17,120,0.0,0.0,734.977924266264,0.5060921473700865,0.0678536407250017,0.40353189811487095,0.430786367694867
2021-05-17 21:00:00,2021,20,21,17,121,0.0,0.0,597.7822435530225,0.5290635374003461,0.056828759771602545,0.4166412010532405,0.430786367694867
2021-05-17 22:00:00,2021,20,22,17,122,0.0,0.0,228.10076816675254,0.4747435110543447,0.05477288689984225,0.36243844278975434,0.430786367694867
2021-05-18 12:00:00,2021,20,12,18,212,0.0,0.0,494.59223493000144,0.5902378234540328,0.03169873137605276,0.4979171898440048,0.430786367694867
2021-05-18 13:00:00,2021,20,13,18,213,0.0,0.0,259.2001253897751,0.5868010538491094,0.030592980192979527,0.49412506008451385,0.430786367694867
2021-05-18 14:00:00,2021,20,14,18,214,0.0,0.0,251.93513350497864,0.5794054363131675,0.04553701365642581,0.4866187847685406,0.430786367694867
2021-05-18 15:00:00,2021,20,15,18,215,0.0,0.0,146.51877132661232,0.5493102647483747,0.07477593461495095,0.47899417973658037,0.430786367694867
2021-05-18 16:00:00,2021,20,16,18,216,0.0,0.0,168.9969844074226,0.5041854625845,0.07054453642904966,0.40668909194635083,0.430786367694867
2021-05-18 17:00:00,2021,20,17,18,217,0.0,0.0,246.7968919444532,0.4719179836201244,0.0633677741895842,0.34731127094034037,0.430786367694867
2021-05-18 18:00:00,2021,20,18,18,218,0.0,0.0,338.09683758482566,0.4304591792494408,0.061074248208319366,0.2780570869509915,0.430786367694867
2021-05-18 19:00:00,2021,20,19,18,219,0.0,0.0,663.6567691591192,0.4302810060002577,0.04513906669937213,0.2764607985678193,0.430786367694867
2021-05-18 20:00:00,2021,20,20,18,220,0.0,0.0,795.7501630266518,0.40254237797715214,0.043604052774956846,0.27431777927048967,0.430786367694867
2021-05-18 21:00:00,2021,20,21,18,221,0.0,0.0,581.2135968147423,0.4042120033230715,0.025414089831087772,0.27221724322064345,0.430786367694867
2021-05-18 22:00:00,2021,20,22,18,222,0.0,0.0,297.60908588272133,0.3597476134536503,0.029628408916343132,0.25307605355865437,0.430786367694867
2021-05-19 12:00:00,2021,20,12,19,312,0.0,0.0,493.65571023363793,0.4617084268611984,0.21387762251388354,0.3568282416182232,0.430786367694867
2021-05-19 13:00:00,2021,20,13,19,313,0.0,0.0,474.2592485616303,0.4447413056151978,0.22825052014122613,0.34309242785305316,0.430786367694867
2021-05-19 14:00:00,2021,20,14,19,314,0.0,0.0,160.78331088749607,0.4423213816789545,0.24105605186252002,0.3220431714471528,0.430786367694867
2021-05-19 15:00:00,2021,20,15,19,315,0.0,0.0,199.36886370386208,0.42582474859443137,0.25568498960917335,0.3082689900417411,0.430786367694867
2021-05-19 16:00:00,2021,20,16,19,316,0.0,0.0,245.68859161378325,0.40418941162177496,0.24016364827315573,0.28294479774246034,0.430786367694867
2021-05-19 17:00:00,2021,20,17,19,317,0.0,0.0,289.4039403992388,0.38775809290236324,0.22544558767021838,0.26225157946964595,0.430786367694867
2021-05-19 18:00:00,2021,20,18,19,318,0.0,0.0,446.1600729753456,0.3670637322526617,0.21043632657282238,0.23859715745319982,0.430786367694867
2021-05-19 19:00:00,2021,20,19,19,319,0.0,0.0,705.8516212498146,0.39323056425655567,0.1457942901626948,0.2424321065449593,0.430786367694867
2021-05-19 20:00:00,2021,20,20,19,320,0.0,0.0,804.5552146878327,0.4247562513865605,0.09119453179243249,0.2521462401712768,0.430786367694867
2021-05-19 21:00:00,2021,20,21,19,321,0.0,0.0,499.04375316828975,0.45432926555872327,0.022083231133111066,0.260438199074307,0.430786367694867
2021-05-19 22:00:00,2021,20,22,19,322,0.0,0.0,573.5105258593759,0.4464008151660493,0.004419602629479453,0.2889063256366111,0.430786367694867
2021-05-20 12:00:00,2021,20,12,20,412,0.0,0.0,531.4480583690885,0.17641921455389686,0.24073131593160016,0.1523089183375741,0.430786367694867
2021-05-20 13:00:00,2021,20,13,20,413,0.0,0.0,431.63645513535,0.15429255285547588,0.2561872977975911,0.13837865041722397,0.430786367694867
2021-05-20 14:00:00,2021,20,14,20,414,0.0,0.0,570.9942758699456,0.11929645872403105,0.28108562620923216,0.10871397029893683,0.430786367694867
2021-05-20 15:00:00,2021,20,15,20,415,0.0,0.0,149.572058854561,0.09731996882969879,0.30489378703568215,0.08954572658710563,0.430786367694867
2021-05-20 16:00:00,2021,20,16,20,416,0.0,0.0,239.46697026025475,0.12194405124581355,0.27036217711213945,0.10929217767673433,0.430786367694867
2021-05-20 17:00:00,2021,20,17,20,417,0.0,0.0,203.15457029328073,0.14818147683371863,0.24867476585597037,0.13019433154189794,0.430786367694867
2021-05-20 18:00:00,2021,20,18,20,418,0.0,0.0,469.7709108581073,0.193145165637577,0.2055564586599953,0.144846203528284,0.430786367694867
2021-05-20 19:00:00,2021,20,19,20,419,0.0,0.0,670.9241568855902,0.11559746486179467,0.12366052694142522,0.09286818614735431,0.430786367694867
2021-05-20 20:00:00,2021,20,20,20,420,0.0,0.0,699.1317666564169,-0.00013038146692730723,0.07866188110720437,0.03159743471377512,0.430786367694867
2021-05-20 21:00:00,2021,20,21,20,421,0.0,0.0,532.1899394903375,-0.08104110014708095,0.009160021958794269,-0.022637926457839817,0.430786367694867
2021-05-20 22:00:00,2021,20,22,20,422,0.0,0.0,595.7703273146082,0.022535140532309393,-0.020189390356841565,0.055479076611785805,0.430786367694867
2021-05-21 12:00:00,2021,20,12,21,512,0.0,0.0,470.57982494990654,0.439767212005145,0.12514445238201338,0.42893638253805094,0.430786367694867
2021-05-21 13:00:00,2021,20,13,21,513,0.0,0.0,349.8332370318384,0.4818278002964399,0.10929854103592522,0.42099368648312585,0.430786367694867
2021-05-21 14:00:00,2021,20,14,21,514,0.0,0.0,376.2476833536787,0.5113556225006198,0.11165908754166358,0.4026220617154089,0.430786367694867
2021-05-21 15:00:00,2021,20,15,21,515,0.0,0.0,306.41966853697585,0.5271270519139089,0.10774690123161282,0.3968729640050827,0.430786367694867
2021-05-21 16:00:00,2021,20,16,21,516,0.0,0.0,346.1925022325408,0.5217309584200893,0.08318311199149318,0.40971411029207483,0.430786367694867
2021-05-21 17:00:00,2021,20,17,21,517,0.0,0.0,408.74726105970063,0.5472094946323398,0.06702614423102875,0.4265177758942991,0.430786367694867
2021-05-21 18:00:00,2021,20,18,21,518,0.0,0.0,602.3107618663694,0.5536412236408453,0.0390988371220674,0.4494811375819532,0.430786367694867
2021-05-21 19:00:00,2021,20,19,21,519,0.0,0.0,832.3694616348072,0.5496690089439688,0.04501477930897519,0.4640119865958265,0.430786367694867
2021-05-21 20:00:00,2021,20,20,21,520,0.0,0.0,795.3523962595282,0.5383083110528354,0.04361811089154848,0.46884516903471884,0.430786367694867
2021-05-21 21:00:00,2021,20,21,21,521,0.0,0.0,975.235726810067,0.5560614453817152,0.043075183920126874,0.4783302259752615,0.430786367694867
2021-05-21 22:00:00,2021,20,22,21,522,0.0,0.0,1115.6973287354076,0.5606252552339642,0.03760032804241885,0.4695743605902239,0.430786367694867
2021-05-21 23:00:00,2021,20,23,21,523,0.0,0.0,418.86947985168774,0.567153195333395,0.021313072125317477,0.46107529540577963,0.430786367694867
2021-05-22 12:00:00,2021,20,12,22,612,0.0,0.0,220.16250298783126,-0.35396118956369965,0.25167878966784796,-0.23687289804626455,0.430786367694867
2021-05-22 13:00:00,2021,20,13,22,613,0.0,0.0,371.874970860249,-0.36295433550844436,0.2729473900727647,-0.24045992941352487,0.430786367694867
2021-05-22 14:00:00,2021,20,14,22,614,0.0,0.0,604.6597543626877,-0.36654604637555094,0.2822008261598419,-0.24141087950424006,0.430786367694867
2021-05-22 15:00:00,2021,20,15,22,615,0.0,0.0,331.4696071872823,-0.3595812306362491,0.29055718692657195,-0.23589860001910815,0.430786367694867
2021-05-22 16:00:00,2021,20,16,22,616,0.0,0.0,633.8740068235129,-0.32496457414927743,0.29236699876541156,-0.21699082618820603,0.430786367694867
2021-05-22 17:00:00,2021,20,17,22,617,0.0,0.0,680.7836653246154,-0.29233740811109776,0.2834830940875185,-0.19747063814926238,0.430786367694867
2021-05-22 18:00:00,2021,20,18,22,618,0.0,0.0,860.6346827689385,-0.2569484031117317,0.2722071556033138,-0.17801842121305606,0.430786367694867
2021-05-22 19:00:00,2021,20,19,22,619,0.0,0.0,863.0245821376326,-0.09845227581113432,0.20274184831033898,-0.0427997864032973,0.430786367694867
