date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact,yhat
2019-12-02 17:00:00,2019,49,17,2,117,4015.895232859499,430.6455666378701,254.47744441278056,-0.0215651968536134,0.071822188959917,-0.1982158842655193,1.0,307.0120945574492
2019-12-02 18:00:00,2019,49,18,2,118,4015.895232859499,371.73289876698345,364.46496039425824,-0.2596355319998116,0.0480196799218159,-0.3883847312653605,1.0,276.75685227361976
2019-12-02 19:00:00,2019,49,19,2,119,4015.895232859499,499.5900416241263,590.2013921152273,-0.2037269278280878,0.0002539760636521,-0.329538943009168,1.0,647.7672190371476
2019-12-02 20:00:00,2019,49,20,2,120,4015.895232859499,762.7699678002042,640.1252583267006,-0.1374446623086508,-0.0507213989614664,-0.2671889976708974,1.0,484.2974946988141
2019-12-02 21:00:00,2019,49,21,2,121,4015.895232859499,287.5210084033613,551.4092229324754,-0.0815360581369271,-0.09848710281963,-0.2084921665941148,1.0,282.6443100604728
2019-12-02 22:00:00,2019,49,22,2,122,4015.895232859499,295.392287756224,240.90401030031944,-0.0736217728715218,-0.2144357790865022,-0.1753006297319778,1.0,137.39519359145527
2019-12-03 12:00:00,2019,49,12,3,212,4073.204272363151,419.4537815126051,854.2557979590948,-0.5152113563189291,-0.3199316680625066,-0.434030476727522,1.0,465.5882352941177
2019-12-03 13:00:00,2019,49,13,3,213,4073.204272363151,189.1176470588236,352.3733803491797,-0.4850463538072957,-0.3354197730647092,-0.4120121433159719,1.0,404.9630880389539
2019-12-03 14:00:00,2019,49,14,3,214,4073.204272363151,51.0606298594204,207.4730610550842,-0.4590299464838555,-0.346604807898773,-0.3962071784078958,1.0,132.10084033613447
2019-12-03 15:00:00,2019,49,15,3,215,4073.204272363151,93.99159663865548,130.01299037257434,-0.4402712050375443,-0.3481585466484107,-0.3838454666968045,1.0,143.15126050420167
2019-12-03 16:00:00,2019,49,16,3,216,4073.204272363151,177.022696929239,126.90158015271444,-0.4304699115829303,-0.3599352459826093,-0.3838334345664032,1.0,132.70674624990184
2019-12-03 17:00:00,2019,49,17,3,217,4073.204272363151,410.86900180633,234.96779030766027,-0.4257113483464311,-0.371131779226746,-0.3871519410056451,1.0,490.80656561690097
2019-12-03 18:00:00,2019,49,18,3,218,4073.204272363151,561.931202387497,452.4176949025901,-0.419517079961792,-0.3877278107739756,-0.3909751621368005,1.0,166.00840336134456
2019-12-03 19:00:00,2019,49,19,3,219,4073.204272363151,838.7901515746487,577.2155187443391,-0.3937575199629112,-0.3859932056554757,-0.3644869307876747,1.0,0.0
2019-12-03 20:00:00,2019,49,20,3,220,4073.204272363151,796.0119374852745,671.9673657750644,-0.3693969313734714,-0.4075631813761439,-0.3414802632436535,1.0,0.0
2019-12-03 21:00:00,2019,49,21,3,221,4073.204272363151,350.12369433754816,382.3749458281188,-0.3380530710382578,-0.4155311447288758,-0.3091120661630062,1.0,389.873949579832
2019-12-03 22:00:00,2019,49,22,3,222,4073.204272363151,184.8319327731093,352.03143523028893,-0.3390756897369519,-0.4065151799123805,-0.3117957364768706,1.0,330.8403361344538
2019-12-04 12:00:00,2019,49,12,4,312,4469.240556035498,660.3973926019006,898.0171220764774,-0.5497226284515454,-0.245648266674076,-0.4583948224896174,1.0,384.5071860519909
2019-12-04 13:00:00,2019,49,13,4,313,4469.240556035498,360.73509777742873,372.46687498840487,-0.5407131325182806,-0.250056616931668,-0.4601408884739981,1.0,340.0
2019-12-04 14:00:00,2019,49,14,4,314,4469.240556035498,122.1632765255635,242.9567874651399,-0.5364971324024826,-0.252602497439866,-0.4625526849417732,1.0,270.3529411764706
