date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,revenue
2022-10-04 16:00:00,2022,40,16,4,216,96.01,123.09731819305884,-0.5282456086451516,0.2895604937198464,0.2673240247062528,93.88
2022-10-04 17:00:00,2022,40,17,4,217,47.96,126.9982930008776,-0.4752163307659216,0.1647504298091923,0.3093282530103846,68.78
2022-10-04 18:00:00,2022,40,18,4,218,11.869999999999996,193.16406647718952,-0.4095977413107896,0.0002041206718899,0.3339824449037749,49.47
2022-10-04 19:00:00,2022,40,19,4,219,129.72,225.01107086781604,-0.4296410473278522,-0.0531535675412618,0.3674881650210561,354.28
2022-10-04 20:00:00,2022,40,20,4,220,119.24,202.4337034377766,-0.4558082173856151,-0.1014006743381015,0.4018431291733061,128.5
2022-10-04 21:00:00,2022,40,21,4,221,0.0,162.51284529434835,-0.4749923163273592,-0.1606572489657237,0.435519076425382,161.41
2022-10-05 12:00:00,2022,40,12,5,312,84.99000000000001,49.82997883565392,-0.1239643698655934,0.57934747396912,-0.2168853677636613,38.09
2022-10-05 13:00:00,2022,40,13,5,313,72.43,95.83633717258702,-0.0940507523493446,0.6387829891660011,-0.248628130388852,74.6
2022-10-05 14:00:00,2022,40,14,5,314,13.34,119.78979456046342,-0.0588749327389485,0.6974086571753922,-0.2831301054047778,95.52
2022-10-05 15:00:00,2022,40,15,5,315,79.78,124.03350061841935,-0.0244267436603497,0.7534904884799521,-0.2984818050643503,127.52
2022-10-05 16:00:00,2022,40,16,5,316,21.04,159.71606005096493,-0.1606417684434502,0.4922895887181893,-0.079019690341429,63.84
2022-10-05 17:00:00,2022,40,17,5,317,113.94,166.95325506359782,-0.2982831675096767,0.2076076024313576,0.1548206158545003,117.23
2022-10-05 18:00:00,2022,40,18,5,318,318.87,251.4514734153356,-0.436056143119425,-0.0686316607361728,0.3881629138413379,249.52
2022-10-05 19:00:00,2022,40,19,5,319,97.4,219.17847183825612,-0.4389501038878453,-0.0861875555862455,0.4005826465672688,315.0
2022-10-05 20:00:00,2022,40,20,5,320,4.67,203.34399984520104,-0.4337733053270548,-0.1237682794961014,0.400328803466674,240.6
2022-10-05 21:00:00,2022,40,21,5,321,55.99,134.3040938314085,-0.4366208564891811,-0.1300433207129685,0.4154451918908117,162.23000000000002
2022-10-06 12:00:00,2022,40,12,6,412,66.73,44.32387890933165,-0.6572187747225737,0.3368757170745149,0.289736304439349,34.69
2022-10-06 13:00:00,2022,40,13,6,413,30.11,87.13906031326523,-0.639603020763276,0.3302783203772863,0.2884723167475183,116.65
2022-10-06 14:00:00,2022,40,14,6,414,60.9,123.2850300004182,-0.6345842306552415,0.3211318848877867,0.2987490158989342,68.85
2022-10-06 15:00:00,2022,40,15,6,415,82.97,149.48389824587514,-0.6157607130002248,0.328521032259851,0.3130142560453023,130.12
2022-10-06 16:00:00,2022,40,16,6,416,122.05,132.59580795396457,-0.5366155968112458,0.2683100849357878,0.2902278113833765,70.67
2022-10-06 17:00:00,2022,40,17,6,417,53.55,121.59744695509158,-0.45148428979157,0.1970887429798689,0.2720965012303944,61.48
2022-10-06 18:00:00,2022,40,18,6,418,52.06,163.75664291999888,-0.3635392802314159,0.1327133377749221,0.2514910004068011,249.3
2022-10-06 19:00:00,2022,40,19,6,419,270.08,212.3685816020622,-0.3312226487069337,0.0852092843132028,0.2471786909136239,227.92
2022-10-06 20:00:00,2022,40,20,6,420,127.81,225.94823446284295,-0.2927283278562262,0.0296663336124227,0.232422472236523,216.99
2022-10-06 21:00:00,2022,40,21,6,421,249.49,156.97296501018351,-0.2615266408148748,-0.0092625566521776,0.235988227008302,174.47
2022-10-07 12:00:00,2022,40,12,7,512,0.0,37.29884866665164,-0.7043484301382493,0.3631797076580716,0.338575642511849,21.87
2022-10-07 13:00:00,2022,40,13,7,513,9.03,97.88411193914963,-0.6921530997670399,0.3823499147307225,0.3399424957013633,132.26999999999998
2022-10-07 14:00:00,2022,40,14,7,514,86.38,91.40696144494876,-0.6943220118752585,0.3978898500211894,0.3525545584009934,104.43
2022-10-07 15:00:00,2022,40,15,7,515,92.24,116.3641159042306,-0.6821266815040495,0.4170600570938403,0.3643902821803077,7.85
2022-10-07 16:00:00,2022,40,16,7,516,125.11,130.7916345636562,-0.5698491327327596,0.242804053047292,0.3494274191899502,185.8
2022-10-07 17:00:00,2022,40,17,7,517,82.8,138.15872629530793,-0.4580145903049866,0.0449345223978571,0.3415424777382435,43.01
2022-10-07 18:00:00,2022,40,18,7,518,156.62,163.21950126725412,-0.3482006090419572,-0.1497418122731941,0.3367591078097154,84.58
2022-10-07 19:00:00,2022,40,19,7,519,296.37,209.97158511259155,-0.3704071985758484,-0.1460231086791916,0.3543934063289745,429.99
2022-10-07 20:00:00,2022,40,20,7,520,403.01,230.15102425319492,-0.3937287325928704,-0.1337292418880702,0.3715904092558293,155.02
2022-10-07 21:00:00,2022,40,21,7,521,106.52,177.77792105482013,-0.411195652322717,-0.1240030466095027,0.3893878963429709,194.85
2022-10-08 12:00:00,2022,40,12,8,612,67.17,67.16999999999999,0.0525344447825204,0.5704965856808395,-0.4043799896677399,71.96000000000001
2022-10-08 13:00:00,2022,40,13,8,613,97.11,97.11,0.1436062754821286,0.3941832278201688,-0.4106543702375831,149.85
2022-10-08 14:00:00,2022,40,14,8,614,180.58,180.58,0.2278755033915256,0.1839790538654359,-0.4084667401234813,347.67
2022-10-08 15:00:00,2022,40,15,8,615,191.46,191.46,0.3122375505135109,-0.0036634128228852,-0.3997731009729504,185.04
2022-10-08 16:00:00,2022,40,16,8,616,73.13,73.13000000000002,0.3069764267807923,-0.0467220935451726,-0.3481936625898153,185.22
2022-10-08 17:00:00,2022,40,17,8,617,53.08,53.079999999999984,0.3036083730510589,-0.1017667060881826,-0.2900758091301779,411.0
2022-10-08 18:00:00,2022,40,18,8,618,389.39,389.39,0.3053318239445267,-0.1425183201671842,-0.2398499107471506,473.61
2022-10-08 19:00:00,2022,40,19,8,619,239.6,239.6,0.4356018289472692,0.0674333094242456,-0.2631455037306931,0.0
2022-10-08 20:00:00,2022,40,20,8,620,101.98,101.98,0.6267843327860773,0.2503354345097923,-0.3005425401250555,224.33
2022-10-08 21:00:00,2022,40,21,8,621,290.57,290.56999999999994,0.7607487559166024,0.4564865012216561,-0.3223402828111719,160.33
2022-10-09 12:00:00,2022,40,12,9,712,119.11,119.11,-0.1717039611236717,0.5331367553986956,-0.1640063782883887,51.12
2022-10-09 13:00:00,2022,40,13,9,713,176.12,176.12,-0.1386964696021833,0.5479730413950114,-0.1779212508603833,21.78
2022-10-09 14:00:00,2022,40,14,9,714,146.1,146.10000000000002,-0.1864177670152581,0.5145807279807536,-0.1090925415936788,361.77
2022-10-09 15:00:00,2022,40,15,9,715,323.4,323.4,-0.176254714199683,0.5188934770505416,-0.094394085262672,399.11
