date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1
2022-12-01 21:00:00,2022,48,21,1,421,131.15,90.80000000000003,0.4155434649878471,-0.13600373242739738,-0.03730615319395665
2022-12-02 12:00:00,2022,48,12,2,512,163.48000000000002,0.0,0.0812591756260067,0.3404447919369729,-0.261801279051889
2022-12-02 13:00:00,2022,48,13,2,513,268.33,72.01000000000002,-0.08881238601069646,0.2550424728770768,-0.08293746512632569
2022-12-02 14:00:00,2022,48,14,2,514,111.87,54.37999999999998,0.058960810972397325,0.31973300148249595,-0.21332004475025562
2022-12-02 15:00:00,2022,48,15,2,515,109.62,49.17000000000003,0.20204483313950408,0.37246143307491575,-0.3354786246849474
2022-12-02 16:00:00,2022,48,16,2,516,141.21,125.84999999999992,0.40088105152150455,0.25854031430892166,-0.33716686217304537
2022-12-02 17:00:00,2022,48,17,2,517,116.35000000000001,151.53,0.5532541804840951,0.15557539507848756,-0.3449932868632272
2022-12-02 18:00:00,2022,48,18,2,518,172.51,160.19999999999996,0.7506252672520356,0.04917762017313788,-0.34327415363595276
2022-12-02 19:00:00,2022,48,19,2,519,156.13,118.1,0.7372312601075104,0.062063308655115,-0.33457056810011065
2022-12-02 20:00:00,2022,48,20,2,520,30.45,81.23000000000003,0.7125738441822606,0.07331933760347854,-0.31847952685231196
2022-12-02 21:00:00,2022,48,21,2,521,46.739999999999995,34.02000000000002,0.699785761576476,0.08458056863928187,-0.31244843410446094
2022-12-03 12:00:00,2022,48,12,3,612,43.69,8.32000000000004,-0.4284522467425163,-0.1314151413180643,0.30746570860713707
2022-12-03 13:00:00,2022,48,13,3,613,133.10000000000002,75.43999999999998,-0.42244216524108974,-0.13664172551891918,0.31537482342656137
2022-12-03 14:00:00,2022,48,14,3,614,171.63,113.78000000000003,-0.4167791368498958,-0.14843720572946867,0.3225516335495616
2022-12-03 15:00:00,2022,48,15,3,615,108.25,375.70999999999987,-0.4059292027513167,-0.153929973645307,0.32809294620957025
2022-12-03 16:00:00,2022,48,16,3,616,79.79,304.55000000000007,-0.18268275167444775,-0.08798845083917413,0.11832127497194762
2022-12-03 17:00:00,2022,48,17,3,617,93.86,431.22000000000014,0.03970040694533916,0.001087417343069637,-0.0935613064449694
2022-12-03 18:00:00,2022,48,18,3,618,289.04,222.72000000000003,0.2542785411945545,0.06275067491078472,-0.2943374463859174
