date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact,revenue
2023-03-21 21:00:00,2023,12,21,21,221,5287.85,522.53,253.7323962489155,-0.3174278766161005,-0.082036273188615,-0.2765442776878155,1.0,107.37
2023-03-21 22:00:00,2023,12,22,21,222,5287.85,62.64,35.54942786298092,-0.2648238997635514,-0.1203132906793792,-0.2211841198176412,1.0,236.15
2023-03-22 12:00:00,2023,12,12,22,312,6408.45,496.76,227.7217874499926,-0.4706999251711357,0.0015749089588627,-0.391012431626991,1.0,304.58
2023-03-22 13:00:00,2023,12,13,22,313,6408.45,235.86,249.825657585242,-0.5035784574482358,-0.005676851187138,-0.4104129581126354,1.0,415.83
2023-03-22 14:00:00,2023,12,14,22,314,6408.45,193.59,219.43033172469404,-0.5475343505522026,-0.0274048829267387,-0.4188522831492022,1.0,265.9
2023-03-22 15:00:00,2023,12,15,22,315,6408.45,136.34,198.2105340475483,-0.5482026601461438,-0.0198427734149382,-0.421812321610482,1.0,143.74
2023-03-22 16:00:00,2023,12,16,22,316,6408.45,131.44,175.1186251764607,-0.5247694312443723,-0.010173363867736,-0.4181907455242079,1.0,153.06
2023-03-22 17:00:00,2023,12,17,22,317,6408.45,673.13,421.349689622482,-0.5544739081434242,-0.0368676436058234,-0.4069587419176519,1.0,346.14
2023-03-22 18:00:00,2023,12,18,22,318,6408.45,947.47,692.7107625340188,-0.5515078510938475,-0.0399183727356724,-0.3950090877708037,1.0,718.49
2023-03-22 19:00:00,2023,12,19,22,319,6408.45,1017.71,632.00153951052,-0.518051880081753,-0.0129578480722931,-0.4016666298405263,1.0,1752.3
2023-03-22 20:00:00,2023,12,20,22,320,6408.45,1514.26,608.7578548042708,-0.5117041135047914,-0.0408039108129472,-0.4095132919960011,1.0,682.35
2023-03-22 21:00:00,2023,12,21,22,321,6408.45,828.75,378.2054388523702,-0.510446716015118,-0.0540350050733577,-0.41893760515962,1.0,457.31
2023-03-22 22:00:00,2023,12,22,22,322,6408.45,233.14,105.47762577370372,-0.4674226044036639,-0.0603354412541338,-0.3797197653466798,1.0,27.82
2023-03-23 12:00:00,2023,12,12,23,412,2951.46,270.9,222.3565371774116,-0.1918797498651305,0.1555097799298407,-0.1815602985601936,1.0,281.91
2023-03-23 13:00:00,2023,12,13,23,413,2951.46,236.03,263.808900239522,-0.412470247013656,0.1518846459191053,-0.3499663328080963,1.0,226.31
2023-03-23 14:00:00,2023,12,14,23,414,2951.46,198.53,145.5205531504666,-0.4048800965998801,0.1822762732790392,-0.3448630497617254,1.0,202.25
